cpu_percent,mem_total,mem_used,mem_free,mem_percent,bytes_sent,bytes_recv,timestamp,ts_writerow
0.3,2000,132,1099,15.5,1939222,51147976,2021-03-10 18:38:48.710937,2021-03-10 18:39:20.796245
0.3,2000,132,1099,15.5,1939222,51147976,2021-03-10 18:38:48.710937,2021-03-10 18:40:20.803574
0.4,2000,132,1099,15.5,1964645,51169424,2021-03-10 18:40:48.767051,2021-03-10 18:41:20.810978
0.4,2000,132,1099,15.5,1964645,51169424,2021-03-10 18:40:48.767051,2021-03-10 18:42:20.817425
0.3,2000,132,1098,15.6,1993984,51193050,2021-03-10 18:42:48.873069,2021-03-10 18:43:20.824958
0.3,2000,132,1098,15.6,1993984,51193050,2021-03-10 18:42:48.873069,2021-03-10 18:44:20.829409
0.3,2000,132,1098,15.6,2023223,51216752,2021-03-10 18:44:49.020059,2021-03-10 18:45:20.834544
0.3,2000,132,1098,15.6,2023223,51216752,2021-03-10 18:44:49.020059,2021-03-10 18:46:20.842041
0.3,2000,132,1098,15.6,2052342,51240382,2021-03-10 18:46:49.104784,2021-03-10 18:47:20.849442
0.3,2000,132,1098,15.6,2052342,51240382,2021-03-10 18:46:49.104784,2021-03-10 18:48:20.857113
0.3,2000,132,1098,15.6,2082009,51264328,2021-03-10 18:48:49.151709,2021-03-10 18:49:20.863261
0.3,2000,132,1098,15.6,2082009,51264328,2021-03-10 18:48:49.151709,2021-03-10 18:50:20.869693
0.4,2000,132,1098,15.6,2111166,51288072,2021-03-10 18:50:49.304142,2021-03-10 18:51:20.876155
0.4,2000,132,1098,15.6,2111166,51288072,2021-03-10 18:50:49.304142,2021-03-10 18:52:20.882513
0.3,2000,132,1098,15.6,2147382,51646280,2021-03-10 18:52:49.347973,2021-03-10 18:53:20.888427
0.3,2000,132,1098,15.6,2147382,51646280,2021-03-10 18:52:49.347973,2021-03-10 18:54:20.895307
0.8,2000,132,1097,15.5,2154149,51651590,2021-03-10 18:54:49.444613,2021-03-10 18:55:20.901671
0.8,2000,132,1097,15.5,2154149,51651590,2021-03-10 18:54:49.444613,2021-03-10 18:56:20.910061
21.4,2000,132,1066,15.6,2331006,57664802,2021-03-10 18:56:49.489573,2021-03-10 18:57:20.917856
21.4,2000,132,1066,15.6,2331006,57664802,2021-03-10 18:56:49.489573,2021-03-10 18:58:20.922438
0.2,2000,132,1066,15.6,2336575,57668914,2021-03-10 18:58:49.634833,2021-03-10 18:59:20.928619
0.2,2000,132,1066,15.6,2336575,57668914,2021-03-10 18:58:49.634833,2021-03-10 19:00:20.933034
0.4,2000,132,1066,15.6,2341800,57672870,2021-03-10 19:00:49.730486,2021-03-10 19:01:20.938379
0.4,2000,132,1066,15.6,2341800,57672870,2021-03-10 19:00:49.730486,2021-03-10 19:02:20.942404
0.3,2000,132,1066,15.6,2346917,57676814,2021-03-10 19:02:49.880783,2021-03-10 19:03:20.947419
0.3,2000,132,1066,15.6,2346917,57676814,2021-03-10 19:02:49.880783,2021-03-10 19:04:20.950844
0.3,2000,132,1066,15.6,2352384,57681128,2021-03-10 19:04:49.945291,2021-03-10 19:05:20.956624
0.3,2000,132,1066,15.6,2352384,57681128,2021-03-10 19:04:49.945291,2021-03-10 19:06:20.964491
0.2,2000,132,1066,15.6,2358191,57685690,2021-03-10 19:06:50.092185,2021-03-10 19:07:20.971016
0.2,2000,132,1066,15.6,2358191,57685690,2021-03-10 19:06:50.092185,2021-03-10 19:08:20.977705
0.3,2000,132,1066,15.6,2363920,57690372,2021-03-10 19:08:50.169879,2021-03-10 19:09:20.983937
0.3,2000,132,1066,15.6,2363920,57690372,2021-03-10 19:08:50.169879,2021-03-10 19:10:20.990348
0.3,2000,132,1066,15.6,2369723,57695006,2021-03-10 19:10:50.318799,2021-03-10 19:11:20.994088
0.3,2000,132,1066,15.6,2369723,57695006,2021-03-10 19:10:50.318799,2021-03-10 19:12:20.996978
0.3,2000,132,1066,15.6,2375138,57699264,2021-03-10 19:12:50.446519,2021-03-10 19:13:21.002288
0.3,2000,132,1066,15.6,2375138,57699264,2021-03-10 19:12:50.446519,2021-03-10 19:14:21.009365
0.3,2000,132,1066,15.6,2380495,57703280,2021-03-10 19:14:50.524019,2021-03-10 19:15:21.017365
0.3,2000,132,1066,15.6,2380495,57703280,2021-03-10 19:14:50.524019,2021-03-10 19:16:21.025031
0.2,2000,132,1066,15.6,2386064,57707524,2021-03-10 19:16:50.608948,2021-03-10 19:17:21.030229
0.2,2000,132,1066,15.6,2386064,57707524,2021-03-10 19:16:50.608948,2021-03-10 19:18:21.037074
0.3,2000,132,1066,15.6,2391531,57711834,2021-03-10 19:18:50.753277,2021-03-10 19:19:21.043196
0.3,2000,132,1066,15.6,2391531,57711834,2021-03-10 19:18:50.753277,2021-03-10 19:20:21.049749
0.3,2000,132,1066,15.6,2396670,57716072,2021-03-10 19:20:50.894785,2021-03-10 19:21:21.057262
0.3,2000,132,1066,15.6,2396670,57716072,2021-03-10 19:20:50.894785,2021-03-10 19:22:21.061571
